,model,ACT
0,Multi-CNN VS Kyo Kusanagi,0
1,Multi-CNN VS Kyo Kusanagi,0
2,Multi-CNN VS Kyo Kusanagi,0
3,Multi-CNN VS Kyo Kusanagi,0
4,Multi-CNN VS Kyo Kusanagi,0
5,Multi-CNN VS Kyo Kusanagi,0
6,Multi-CNN VS Kyo Kusanagi,0
7,Multi-CNN VS Kyo Kusanagi,0
8,Multi-CNN VS Kyo Kusanagi,0
9,Multi-CNN VS Kyo Kusanagi,0
10,Multi-CNN VS Kyo Kusanagi,0
11,Multi-CNN VS Kyo Kusanagi,0
12,Multi-CNN VS Kyo Kusanagi,0
13,Multi-CNN VS Kyo Kusanagi,0
14,Multi-CNN VS Kyo Kusanagi,0
15,Multi-CNN VS Kyo Kusanagi,0
16,Multi-CNN VS Kyo Kusanagi,0
17,Multi-CNN VS Kyo Kusanagi,0
18,Multi-CNN VS Kyo Kusanagi,0
19,Multi-CNN VS Kyo Kusanagi,0
20,Multi-CNN VS Kyo Kusanagi,0
21,Multi-CNN VS Kyo Kusanagi,0
22,Multi-CNN VS Kyo Kusanagi,0
23,Multi-CNN VS Kyo Kusanagi,0
24,Multi-CNN VS Kyo Kusanagi,0
25,Multi-CNN VS Kyo Kusanagi,0
26,Multi-CNN VS Kyo Kusanagi,0
27,Multi-CNN VS Kyo Kusanagi,0
28,Multi-CNN VS Kyo Kusanagi,0
29,Multi-CNN VS Kyo Kusanagi,0
30,Multi-CNN VS Kyo Kusanagi,0
31,Multi-CNN VS Kyo Kusanagi,0
32,Multi-CNN VS Kyo Kusanagi,0
33,Multi-CNN VS Kyo Kusanagi,0
34,Multi-CNN VS Kyo Kusanagi,0
35,Multi-CNN VS Kyo Kusanagi,0
36,Multi-CNN VS Kyo Kusanagi,0
37,Multi-CNN VS Kyo Kusanagi,0
38,Multi-CNN VS Kyo Kusanagi,0
39,Multi-CNN VS Kyo Kusanagi,0
40,Multi-CNN VS Kyo Kusanagi,0
41,Multi-CNN VS Kyo Kusanagi,0
42,Multi-CNN VS Kyo Kusanagi,0
43,Multi-CNN VS Kyo Kusanagi,0
44,Multi-CNN VS Kyo Kusanagi,0
45,Multi-CNN VS Kyo Kusanagi,0
46,Multi-CNN VS Kyo Kusanagi,0
47,Multi-CNN VS Kyo Kusanagi,0
48,Multi-CNN VS Kyo Kusanagi,0
49,Multi-CNN VS Kyo Kusanagi,0
50,Multi-CNN VS Kyo Kusanagi,0
51,Multi-CNN VS Kyo Kusanagi,0
52,Multi-CNN VS Kyo Kusanagi,0
53,Multi-CNN VS Kyo Kusanagi,0
54,Multi-CNN VS Kyo Kusanagi,0
55,Multi-CNN VS Kyo Kusanagi,0
56,Multi-CNN VS Kyo Kusanagi,0
57,Multi-CNN VS Kyo Kusanagi,0
58,Multi-CNN VS Kyo Kusanagi,0
59,Multi-CNN VS Kyo Kusanagi,0
60,Multi-CNN VS Kyo Kusanagi,0
61,Multi-CNN VS Kyo Kusanagi,0
62,Multi-CNN VS Kyo Kusanagi,0
63,Multi-CNN VS Kyo Kusanagi,0
64,Multi-CNN VS Kyo Kusanagi,0
65,Multi-CNN VS Kyo Kusanagi,0
66,Multi-CNN VS Kyo Kusanagi,0
67,Multi-CNN VS Kyo Kusanagi,0
68,Multi-CNN VS Kyo Kusanagi,0
69,Multi-CNN VS Kyo Kusanagi,0
70,Multi-CNN VS Kyo Kusanagi,0
71,Multi-CNN VS Kyo Kusanagi,0
72,Multi-CNN VS Kyo Kusanagi,0
73,Multi-CNN VS Kyo Kusanagi,0
74,Multi-CNN VS Kyo Kusanagi,0
75,Multi-CNN VS Kyo Kusanagi,0
76,Multi-CNN VS Kyo Kusanagi,0
77,Multi-CNN VS Kyo Kusanagi,0
78,Multi-CNN VS Kyo Kusanagi,0
79,Multi-CNN VS Kyo Kusanagi,0
80,Multi-CNN VS Kyo Kusanagi,0
81,Multi-CNN VS Kyo Kusanagi,0
82,Multi-CNN VS Kyo Kusanagi,0
83,Multi-CNN VS Kyo Kusanagi,0
84,Multi-CNN VS Kyo Kusanagi,0
85,Multi-CNN VS Kyo Kusanagi,0
86,Multi-CNN VS Kyo Kusanagi,0
87,Multi-CNN VS Kyo Kusanagi,0
88,Multi-CNN VS Kyo Kusanagi,0
89,Multi-CNN VS Kyo Kusanagi,0
90,Multi-CNN VS Kyo Kusanagi,0
91,Multi-CNN VS Kyo Kusanagi,0
92,Multi-CNN VS Kyo Kusanagi,0
93,Multi-CNN VS Kyo Kusanagi,0
94,Multi-CNN VS Kyo Kusanagi,0
95,Multi-CNN VS Kyo Kusanagi,0
96,Multi-CNN VS Kyo Kusanagi,0
97,Multi-CNN VS Kyo Kusanagi,0
98,Multi-CNN VS Kyo Kusanagi,0
99,Multi-CNN VS Kyo Kusanagi,0
100,Multi-CNN VS Kyo Kusanagi,0
101,Multi-CNN VS Kyo Kusanagi,0
102,Multi-CNN VS Kyo Kusanagi,0
103,Multi-CNN VS Kyo Kusanagi,0
104,Multi-CNN VS Kyo Kusanagi,0
105,Multi-CNN VS Kyo Kusanagi,0
106,Multi-CNN VS Kyo Kusanagi,0
107,Multi-CNN VS Kyo Kusanagi,0
108,Multi-CNN VS Kyo Kusanagi,0
109,Multi-CNN VS Kyo Kusanagi,0
110,Multi-CNN VS Kyo Kusanagi,0
111,Multi-CNN VS Kyo Kusanagi,0
112,Multi-CNN VS Kyo Kusanagi,0
113,Multi-CNN VS Kyo Kusanagi,0
114,Multi-CNN VS Kyo Kusanagi,0
115,Multi-CNN VS Kyo Kusanagi,0
